relation,id
rel.per.per-loc.ancestralHome,R1030011
rel.per.per-loc.archivesAt,R1030012
rel.per.per-loc.awardedAt,R1030013
rel.per.per-loc.battleFoughtAt,R1030014
rel.per.per-loc.beatifiedPlace,R1030015
rel.per.per-loc.billedFrom,R1030016
rel.per.per-loc.bodyDiscoveredPlcae,R1030017
rel.per.per-loc.canonizedPlace,R1030018
rel.per.per-loc.country,R1030019
rel.per.per-loc.country.countryForSport,R10300110
rel.per.per-loc.country.countryOfCitizenship,R10300111
rel.per.per-loc.country.countryOfOrigin,R10300112
rel.per.per-loc.country.formerCountry,R10300113
rel.per.per-loc.country.homeCountry,R10300114
rel.per.per-loc.country.nationality,R10300115
rel.per.per-loc.disappearedPlace,R10300116
rel.per.per-loc.administrativeDivision,R10300117
rel.per.per-loc.administrativeDivision.district,R10300118
rel.per.per-loc.administrativeDivision.district.electoralDistrict,R10300119
rel.per.per-loc.exhibitionHistory,R10300120
rel.per.per-loc.hometown,R10300121
rel.per.per-loc.honouredAt,R10300122
rel.per.per-loc.imprisonedAt,R10300123
rel.per.per-loc.locatedAt,R10300124
rel.per.per-loc.majorShrine,R10300125
rel.per.per-loc.missionAt,R10300126
rel.per.per-loc.monuments,R10300127
rel.per.per-loc.notableWork,R10300128
rel.per.per-loc.officeholder,R10300129
rel.per.per-loc.officeholder.commanderOf,R10300130
rel.per.per-loc.origin,R10300131
rel.per.per-loc.ownerOf,R10300132
rel.per.per-loc.permanentResidentOf,R10300133
rel.per.per-loc.placeOfBirth,R10300134
rel.per.per-loc.placeOfBurial,R10300135
rel.per.per-loc.placeOfDeath,R10300136
rel.per.per-loc.placeOfDetention,R10300137
rel.per.per-loc.region,R10300138
rel.per.per-loc.religiousInstitution,R10300139
rel.per.per-loc.religiousInstitution.church,R10300140
rel.per.per-loc.religiousInstitution.temple,R10300141
rel.per.per-loc.residence,R10300142
rel.per.per-loc.restaurant,R10300143
rel.per.per-loc.restingPlace,R10300144
rel.per.per-loc.significantBuilding,R10300145
rel.per.per-loc.significantProject,R10300146
rel.per.per-loc.state,R10300147
rel.per.per-loc.state.stateOfOrigin,R10300148
rel.per.per-loc.trainingLocation,R10300149
rel.per.per-loc.trainingLocation.currentTrainingLocation,R10300150
rel.per.per-loc.trainingLocation.formerTrainingLocation,R10300151
rel.per.per-loc.trainingLocation.gym,R10300152
rel.per.per-loc.workLocation,R10300153
rel.per.per-org,R103002
rel.per.per-org.affiliation,R1030021
rel.per.per-org.agency,R1030022
rel.per.per-org.agentCompany,R1030023
rel.per.per-org.allegiance,R1030024
rel.per.per-org.almaMater,R1030025
rel.per.per-org.archivesAt,R1030026
rel.per.per-org.associatedWith,R1030027
rel.per.per-org.associatedWith.band,R1030028
rel.per.per-org.associatedWith.institution,R1030029
rel.per.per-org.associatedWith.institution.professorshipAt,R10300210
rel.per.per-org.associatedWith.league,R10300211
rel.per.per-org.associatedWith.league.prospectLeague,R10300212
rel.per.per-org.awardedBy,R10300213
rel.per.per-org.battleFaughtUnder,R10300214
rel.per.per-org.boardMemberOf,R10300215
rel.per.per-org.chairpersonOf,R10300216
rel.per.per-org.chiefExecutiveOfficerOf,R10300217
rel.per.per-org.club,R10300218
rel.per.per-org.club.coachedClub,R10300219
rel.per.per-org.club.currentClub,R10300220
rel.per.per-org.club.youthClub,R10300221
rel.per.per-org.coachOf,R10300222
rel.per.per-org.coachOf.assistCoachOf,R10300223
rel.per.per-org.coachOf.formerCoachOf,R10300224
rel.per.per-org.coachOf.headCoachOf,R10300225
rel.per.per-org.directorOf,R10300226
rel.per.per-org.draftedBy,R10300227
rel.per.per-org.educatedAt,R10300228
rel.per.per-org.educatedAt.college,R10300229
rel.per.per-org.educatedAt.highSchool.formerHighSchool,R10300230
rel.per.per-org.educatedAt.highSchool,R10300231
rel.per.per-org.educatedAt.school,R10300232
rel.per.per-org.educatedAt.university,R10300233
rel.per.per-org.employer,R10300234
rel.per.per-org.family,R10300235
rel.per.per-org.family.house,R10300236
rel.per.per-org.founderOf,R10300237
rel.per.per-org.influenced,R10300238
rel.per.per-org.influencedBy,R10300239
rel.per.per-org.isPartOf,R10300240
rel.per.per-org.managerOf,R10300241
rel.per.per-org.managerOf.managerOfClub,R10300242
rel.per.per-org.memberOf,R10300243
rel.per.per-org.memberOf.currentMemberOf,R10300244
rel.per.per-org.memberOf.memberOfAssembly,R10300245
rel.per.per-org.memberOf.memberOfMovement,R10300246
rel.per.per-org.memberOf.memberOfParliament,R10300247
rel.per.per-org.memberOf.memberOfPoliticalParty,R10300248
rel.per.per-org.memberOf.memberOfStateAssembly,R10300249
rel.per.per-org.memberOf.memberOfStateDelegate,R10300250
rel.per.per-org.memberOf.memberOfStateHouse,R10300251
rel.per.per-org.memberOf.memberOfStateLegislature,R10300252
rel.per.per-org.memberOf.pastMemberOf,R10300253
rel.per.per-org.militaryBranch,R10300254
rel.per.per-org.militaryUnit,R10300255
rel.per.per-org.officeholder,R10300256
rel.per.per-org.officeholder.commanderOf,R10300257
rel.per.per-org.ownerOf,R10300258
rel.per.per-org.participantOf,R10300259
rel.per.per-org.positionHeld,R10300260
rel.per.per-org.practiceAt,R10300261
rel.per.per-org.recordLabel,R10300262
rel.per.per-org.religion,R10300263
rel.per.per-org.religion.religiousOrder,R10300264
rel.per.per-org.sponsoredBy,R10300265
rel.per.per-org.team,R10300266
rel.per.per-org.team.amateurTeam,R10300267
rel.per.per-org.team.coachedTeam,R10300268
rel.per.per-org.team.collegeTeam,R10300269
rel.per.per-org.team.currentTeam,R10300270
rel.per.per-org.team.debutTeam,R10300271
rel.per.per-org.team.draftTeam,R10300272
rel.per.per-org.team.formerTeam,R10300273
rel.per.per-org.team.managedTeam,R10300274
rel.per.per-org.team.nationalTeam,R10300275
rel.per.per-org.team.olympicTeam,R10300276
rel.per.per-org.team.prospectTeam,R10300277
rel.per.per-org.team.proTeam,R10300278
rel.per.per-org.team.sportsTeam,R10300279
rel.per.per-org.team.universityTeam,R10300280
rel.per.per-org.team.worldsTeam,R10300281
rel.per.per-org.trainedAt,R10300282
rel.per.per-org.wantedBy,R10300283
rel.per.per-per,R103003
rel.per.per-per.advisor,R1030031
rel.per.per-per.advisor.academicAdvisor,R1030032
rel.per.per-per.advisor.doctoralAdvisor,R1030033
rel.per.per-per.agent,R1030034
rel.per.per-per.appointedBy,R1030035
rel.per.per-per.associatedWith,R1030036
rel.per.per-per.associatedWith.musicalArtist,R1030037
rel.per.per-per.awardedBy,R1030038
rel.per.per-per.beatifiedBy,R1030039
rel.per.per-per.canonizedBy,R10300310
rel.per.per-per.choreographer,R10300311
rel.per.per-per.choreographer.formerChoreographer,R10300312
rel.per.per-per.coachOf,R10300313
rel.per.per-per.coachOf.assistCoachOf,R10300314
rel.per.per-per.coachOf.formerCoachOf,R10300315
rel.per.per-per.coachOf.headCoachOf,R10300316
rel.per.per-per.consecrator,R10300317
rel.per.per-per.createdCardinalBy,R10300318
rel.per.per-per.employer,R10300319
rel.per.per-per.relative,R10300320
rel.per.per-per.relative.child,R10300321
rel.per.per-per.relative.parent,R10300322
rel.per.per-per.relative.parent.father,R10300323
rel.per.per-per.relative.parent.mother,R10300324
rel.per.per-per.relative.parent.stepParent,R10300325
rel.per.per-per.relative.sibling,R10300326
rel.per.per-per.relative.spouse,R10300327
rel.per.per-per.influenced,R10300328
rel.per.per-per.influencedBy,R10300329
rel.per.per-per.inspiredBy,R10300330
rel.per.per-per.namedAfter,R10300331
rel.per.per-per.nominatedBy,R10300332
rel.per.per-per.officeholder,R10300333
rel.per.per-per.officeholder.deputy,R10300334
rel.per.per-per.officeholder.inOfficeChancellor,R10300335
rel.per.per-per.officeholder.inOfficeGovernor,R10300336
rel.per.per-per.officeholder.inOfficeGovernorGeneral,R10300337
rel.per.per-per.officeholder.inOfficeLieutenant,R10300338
rel.per.per-per.officeholder.inOfficeMonarch,R10300339
rel.per.per-per.officeholder.inOfficePresident,R10300340
rel.per.per-per.officeholder.inOfficePrimeMinister,R10300341
rel.per.per-per.officeholder.inOfficeVicePresident,R10300342
rel.per.per-per.officeholder.inOfficeVicePrimeMinister,R10300343
rel.per.per-per.opponent,R10300344
rel.per.per-per.ordinatedBy,R10300345
rel.per.per-per.partner,R10300346
rel.per.per-per.partner.currentPartner,R10300347
rel.per.per-per.partner.domesticPartner,R10300348
rel.per.per-per.partner.formerPartner,R10300349
